Gene name 	Wormbase ID 	Imaged 	Lineaged 	Phenotypes 	Required for cellular function
T25G3.3 	WBGene00012030 	Yes 	Yes 	6 	Yes, embryonic lethal
T25G3.4 (gpdh-3) 	WBGene00012031 	Yes 	Yes 		
T26E3.4 	WBGene00012037 	Yes 	Yes 		
T27A3.6 (nmrk-1) 	WBGene00020842 	Yes 	Yes 		Yes, embryonic lethal
T27F6.6 	WBGene00012105 	Yes 	Yes 		
tads-1 	WBGene00007217 	Yes 	Yes 	4 	Yes, embryonic lethal
taf-1 	WBGene00006382 	Yes 	Yes 	4 	Yes, embryonic lethal
taf-11.2 	WBGene00006394 	Yes 	Yes 	1 	Yes
taf-4 	WBGene00006385 	Yes 	Yes 	4 	Yes, embryonic lethal
tag-173 (bckd-1B) 	WBGene00006518 	Yes 	Yes 	3 	Yes, embryonic lethal
tag-179 (algn-10) 	WBGene00007043 	Yes 	Yes 		
tag-296 	WBGene00018632 	Yes 	Yes 	1 	Yes
tat-5 	WBGene00009498 	Yes 	Yes 	6 	Yes, embryonic lethal
